                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.66234,                0.46829,                0.95538,                 0.9631,                0.96475,                0.99346,                 0.7092,                 1.0269,                0.53665,                 1.2331,             0.00046419,             0.00046419,             0.00046419
                    129,                0.68544,                0.49117,                0.97074,                0.97874,                0.97917,                0.99214,                0.71157,                 1.0341,                0.51614,                 1.2147,               0.000458,               0.000458,               0.000458
                    130,                0.65924,                0.47483,                0.95804,                0.95743,                0.98192,                0.99346,                0.72074,                 1.0289,                0.49908,                 1.2109,             0.00045181,             0.00045181,             0.00045181
                    131,                0.66706,                0.46947,                0.93852,                0.95915,                      1,                0.99192,                0.70874,                 1.0131,                0.49623,                 1.1944,             0.00044563,             0.00044563,             0.00044563
                    132,                0.67936,                0.46576,                0.96587,                0.98249,                0.99211,                  0.995,                0.72999,                0.98315,                0.50351,                 1.1874,             0.00043944,             0.00043944,             0.00043944
                    133,                0.67857,                0.46759,                0.95722,                0.98643,                0.98506,                  0.995,                0.72695,                0.97375,                0.52167,                 1.1957,             0.00043325,             0.00043325,             0.00043325
                    134,                0.62859,                0.47054,                0.95034,                0.98319,                0.98366,                  0.995,                 0.7297,                0.97359,                0.53744,                 1.2094,             0.00042706,             0.00042706,             0.00042706
                    135,                0.68721,                0.48697,                0.97734,                0.98506,                0.98272,                  0.995,                0.71993,                0.95983,                0.54021,                 1.2154,             0.00042087,             0.00042087,             0.00042087
                    136,                0.66463,                0.48074,                0.95154,                0.98873,                0.97917,                0.99346,                0.73021,                0.94562,                 0.5301,                 1.2035,             0.00041469,             0.00041469,             0.00041469
                    137,                0.66477,                0.47056,                0.95959,                 0.9873,                0.97917,                0.99214,                0.72264,                0.94757,                0.53214,                 1.1948,              0.0004085,              0.0004085,              0.0004085
                    138,                0.65503,                0.45375,                0.93523,                0.97769,                 0.9772,                  0.991,                0.72262,                0.96446,                0.51593,                   1.19,             0.00040231,             0.00040231,             0.00040231
                    139,                0.65071,                0.45311,                0.94852,                0.97842,                0.97917,                  0.991,                0.73376,                0.95928,                0.52002,                 1.1865,             0.00039613,             0.00039613,             0.00039613
                    140,                0.63187,                 0.4403,                0.94323,                0.98321,                0.97917,                  0.991,                0.72657,                0.96736,                0.51482,                 1.1669,             0.00038994,             0.00038994,             0.00038994
                    141,                0.63005,                0.42392,                0.94671,                 0.9713,                0.97847,                0.98912,                0.74495,                0.92388,                0.51128,                  1.146,             0.00038375,             0.00038375,             0.00038375
                    142,                0.63778,                0.43714,                 0.9473,                0.93817,                0.97917,                0.98604,                0.73749,                0.90443,                0.49477,                 1.1357,             0.00037756,             0.00037756,             0.00037756
                    143,                 0.5995,                0.44294,                0.94637,                0.97748,                0.97665,                0.98912,                0.74549,                 0.8946,                0.48873,                 1.1384,             0.00037138,             0.00037138,             0.00037138
                    144,                0.62946,                0.42908,                 0.9489,                0.97702,                0.95774,                0.98912,                0.74662,                0.89614,                0.49473,                 1.1594,             0.00036519,             0.00036519,             0.00036519
                    145,                0.63121,                0.45667,                0.94248,                0.98599,                0.97042,                0.98833,                0.74837,                0.90457,                0.49412,                 1.1606,               0.000359,               0.000359,               0.000359
                    146,                0.67971,                0.47212,                0.97429,                0.98781,                0.95796,                0.99214,                0.74837,                0.91593,                0.50391,                 1.1495,             0.00035281,             0.00035281,             0.00035281
                    147,                0.60189,                0.44784,                0.93561,                 0.9884,                0.96309,                  0.991,                0.73483,                0.94481,                0.52091,                 1.1545,             0.00034663,             0.00034663,             0.00034663
                    148,                0.59845,                0.42462,                0.91697,                0.99104,                0.95833,                0.98846,                0.73522,                0.95739,                0.51552,                 1.1642,             0.00034044,             0.00034044,             0.00034044
